plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p14,0_2,142,0.118,,
p14,0_2,142,0.118,,
p14,0_2,142,0.118,,
p14,0_2,51,0.255,,
p14,0_2,105,0.208,,
p14,0_2,63,0.186,,
p14,0_2,2,0.148,,
p14,0_2,38,0.145,,
p14,0_2,185,0.144,,
p14,0_2,74,0.119,,
p14,0_2,26,0.356,2.6,good
p14,0_2,6,0.206,3.2,good
p14,0_2,45,0.172,2.5,good
p14,0_2,95,0.159,5,good
p14,0_2,44,0.144,2,good
p14,0_2,62,0.141,4,good
p14,0_2,85,0.141,2.4,good
p14,0_2,84,0.134,3.5,good
p14,0_2,66,0.127,4.9,good
p14,0_2,55,0.123,3.2,good
p14,0_2,158,0.122,5,good
p14,0_2,142,0.118,6,good
p14,0_2,32,0.114,,
p14,0_2,133,0.106,1,good
p14,0_2,92,0.105,3.8,good
p14,0_2,70,0.083,,
p14,0_2,70,0.083,,
p14,0_2,193,0.066,,
p14,0_2,68,0.066,,
p14,0_2,68,0.066,,
p14,0_2,193,0.066,,
p14,0_2,111,0.056,,
p14,0_2,111,0.056,,
p14,0_2,111,0.056,,
p14,0_2,111,0.056,,
p14,1_0,10,0.215,4,good
p14,1_0,57,0.165,6,good
p14,1_0,4,0.143,6,good
p14,1_0,59,0.127,6,good
p14,1_1,49,0.173,,
p14,1_1,49,0.173,,
p14,1_1,142,0.156,,
p14,1_1,134,0.146,,
p14,1_1,83,0.141,,
p14,1_1,83,0.141,,
